Name,GI,GL
Soybeans,15,4.5
Spaghetti (well cooked),55,12.8
Spaghetti al dente,45,21.5
Spaghetti bolognese,52,9.9
Spelled flour,45,30.5
Spelled wheat,40,24.5
Spices (cinnamon),5,4
Spinach,15,0.3
Squash,15,0.7
Stevia,0,0
Strawberries (fresh berries),25,1.9
Strawberry Jam (Low Sugar),51,31.1
String Beans (Fresh),30,1.1
Sunflower (seeds),35,7
Surimi (minced fish in crab sticks),50,3.4
Sushi,55,11.6
"Sushi, salmon",48,7.3
Sweet cherry,25,0.1
Sweet corn,48,8.9
Sweet pepper,15,0.8
"Sweet pepper (red, green), paprika",15,1
Sweet yogurt,52,4.7
Tagliatelle (well cooked),55,34.8
Tahin,40,8.4
Tangerine (canned),47,4.2
"Tangerines, tangerines, satsuma (fresh)",30,3.9
Taro,48,12.7
Tempeh,15,1.4
Tofu cheese,15,0.6
"Tofu, bean curd",15,0.1
Tomato juice,35,1.5
"Tomato sauce (natural, sugar free)",35,1.3
Tomato soup,38,2.7
Tomatoes,30,1.1
Tomatoes (dried),35,10.2
Tomatoes (fresh),30,1.1
"Tortilla, White Corn",49,23.1
Turkey,0,0
Turkey (boiled),0,0
Turnip (raw),30,1.9
"Turnip, turnip (fresh)",30,1.8
Unpeeled Basmati Rice,45,33.8
Urad bean (steamed),43,27.1
Vanilla,5,3.3
Veal,0,0
Vegetable fat,0,0
Vegetable soup,40,2.5
Vinegar,15,0
Walnut,15,2.1
Walnuts,15,1.1
Wheat flakes,45,27.4
White almond paste / puree (without sweeteners),35,16.7
White beans,35,22.4
White beans,35,21.4
White beans (boiled),33,8.3
White cabbage,15,0.9
White chocolate,44,26
"White corn, sweet corn, frozen corn",55,10.4
Whole Grain (Rye),34,19
Whole Grain Spaghetti,40,10.6
Whole Grain Wheat,45,26.8
Whole Wheat Pasta,40,10.6
Whole grain pasta made by al dente,40,14.6
Whole grain rye flour,45,28.9
Whole milk,34,1.6
Whole milk 3%,27,1.2
Wholemeal Pasta,50,32.1
Wholemeal bread,40,15.9
Wild rice,45,33.8
Wild rice (black),35,26.3
Yeast,35,6.3
Yellow gooseberry,15,1.8
Yogurt,32,1.3
Yogurt,35,1.6
"Yogurt 1,5% natural",35,0.5
Zucchini,15,0.5
Apricots (canned in syrup),60,12.9
Beef Stroganoff,56,7.3
Beets (Boiled),65,7
Boiled sweetcorn,60,13.5
Bran bread,65,29.4
Breadfruit,65,17.6
Brown yeast bread,65,26
Buckwheat noodles,59,41.6
Canned vegetables (factory),65,3.4
Chestnut,60,26.5
Chestnut flour,65,46.1
Chocolate powder with sugar,60,19.1
Condensed milk,61,32.9
Corn chips,63,28.8
Corn pasta,68,46.4
Couscous,60,12
Dessert Banana (ripe),60,13.1
Dried fruits,60,49.8
Durum wheat semolina,60,42.4
Egg powder,60,2.7
Falafel (chickpea),65,28.1
Flatbread,69,38.6
Grapes,56,9.6
"Grapes, black",59,11
Hamburger,66,1.3
Hamburger bun,61,30.1
Honey,60,45.8
Ice cream,62,14.9
Long grain rice,60,46.8
Mango,56,8.4
Maple syrup,65,43.5
Marmalade with sugar,65,49.8
Mayonnaise (sweetened),60,0.2
Melon,65,5.2
Milk bread,60,29.9
Muesli,56,31.6
Muesli (with sugar or honey),65,43.8
Oatmeal (cooked on the water),60,9
"Oatmeal porridge (crushed), oatmeal dishes",60,9
"Oats, Hercules",59,36
Pancakes,66,16.6
Papaya (fresh),60,5.5
Pea soup,60,3.7
Pearl barley (steamed),60,40.1
Peeled wheat flour (whole grain),65,44.8
Pineapple,66,8.6
Pineapple (canned in syrup),65,10.1
Pita,57,31.9
Pizza,60,19.8
Processed cheese,57,15.4
Pumpkin,65,4.5
Quince (canned / jelly with sugar),65,7.2
Raisins,65,51.5
Raisins (red and gold),65,46.8
Red beet juice,64,0
Rice Jasmine,60,44
Rice noodles,65,16.2
Rice waffles,64,52.3
Rye bread,65,31.2
Rye crackers,64,44.8
Shortbread,60,32.2
"Soft drinks (soda, cola)",60,6
Sorbet,65,52.5
Sorbet (with sugar),65,17.9
Straw,60,41.6
Strawberry Jam (High Sugar),65,45.5
Sugar,58,58
Tamarind (sweet),65,40.8
Udon noodles,62,8.5
"Vanilla ice cream (regular, with sugar)",60,14.4
Vegetable soup,60,2.2
Wholemeal bread,65,31.2
Wholemeal flour,60,33.5
Yam,65,18.2
Yellow corn,65,10.1
A mixture of refined cereals with sugar,70,16.2
Air rice (analogue of popcorn),85,76.3
Amaranth (analogue of popcorn),70,43.4
Arroroot Flour,85,72
Bagel (wheat),70,35.4
Bagels,70,48.1
Baguette (white),95,46.5
Baguette (whole grain),73,28.3
Baked potato,95,20
Bakery products (wheat),90,33.9
Barley porridge,70,46.1
Beans (cooked),80,17.2
Beer,70,2.5
Biscotti (dry cookies),70,35
Biscuit,70,34
Boiled potatoes,70,12.3
Brioche (bun),70,32.9
Brown sugar,70,68.6
Carrot (cooked),85,4.3
"Celery (boiled, without salt)",85,4
Chocolate bar (with sugar),70,38.1
Condensed milk with sugar,80,6.8
Cookies (pastries),70,46.2
Corn Syrup (Dark),115,89.2
Corn flour,70,53.8
Corn starch,85,72.3
Corn starch,95,80.8
Cornflakes,85,55.3
Cornmeal porridge (mamalyga),70,14.7
Cottage cheese pancakes,70,8.4
Crackers,80,10
Crackers,70,50.4
Croissant,70,21.7
Dates,70,48.4
Donuts,75,38.3
Dumplings,86,24.9
Flavored Rice,70,56
French baguette made from wheat flour,70,23.4
French fries,75,22.6
Fried potato,95,19.1
Fruit Bar (strawberry),90,60.8
Glucose,96,94.1
Glucose (Dextrose),100,95
Glucose syrup,100,70.5
Gluten free white bread,90,14
Gnocchi,70,14
Instant potatoes,87,66.1
Instant rice,85,65.5
Lychee (canned syrup),79,14.8
Maltodextrin,95,94
Mashed potatoes,83,11.4
Matzo (white flour),70,58.8
Millet,70,51.1
Millet porridge,70,18.9
Molasses,70,52.5
Instant oats porridge,74,41.4
Parsnip,85,15.3
Platano (cooked),70,27.4
Potato chips,70,37
Potato flour (starch),95,78.9
Premium wheat flour,85,58.6
Pumpkin (boiled),75,5.3
Ravioli (from soft wheat),70,20.8
Rice Bread,70,48
Rice Milk,85,5.5
Rice Syrup,100,77
Rice biscuits,85,58.6
Rice cake,85,69.7
Rice flakes,80,61.6
Rice flour,95,76.1
Rice porridge with milk (with sugar),75,13.6
Risotto,70,22.1
"Rutabaga, fodder beets",70,6.1
"Sandwich bread, white",75,39.4
Sorghum,70,46.5
Sports drinks,75,2.9
Squash caviar,75,3.6
Sticky rice,90,73.8
"Sweet potato (batata, yam)",70,11.1
Syrup,70,54.8
Tacos,70,14
Tapioca (dried),85,74.6
"Turnip (cooked, boiled)",85,3.9
Waffles,75,54.3
Watermelon,75,5.6
"Wheat Syrup, Rice Syrup",100,77
Wheat bread,70,34.3
"Wheat flour, white (unenriched)",85,62.6
Wheat syrup,100,78
White bread “baguette”,70,36
White flour bread,90,43.9
White rice standard,70,56
